zip,facility_type,ev_slow,ev_dc_fast_count,spaces
92078,HOTEL,2.0,0.0,
92078,REC_SPORTS_FACILITY,3.0,0.0,
92078,RESTAURANT,3.0,0.0,
92081,HOTEL,2.0,0.0,
92083,CAR_DEALER,2.0,0.0,
92101,BANK,8.0,0.0,
92101,HOTEL,17.0,0.0,
92101,OFFICE_BLDG,1.0,0.0,
92101,PARKING_GARAGE,16.0,0.0,
92103,GROCERY,5.0,0.0,
92103,SHOPPING_CENTER,2.0,0.0,
92103,SHOPPING_MALL,3.0,0.0,
92106,HOTEL,6.0,0.0,
92108,HOTEL,2.0,0.0,
92108,SHOPPING_CENTER,2.0,0.0,
92108,SHOPPING_MALL,0.0,24.0,
92109,CAR_DEALER,3.0,1.0,
92109,HOTEL,10.0,0.0,
92110,PARKING_LOT,4.0,0.0,
92110,PAY_LOT,10.0,0.0,
92110,SHOPPING_CENTER,2.0,0.0,
92110,SHOPPING_MALL,1.0,0.0,
92111,CAR_DEALER,1.0,1.0,
92111,HOTEL,2.0,0.0,
92111,OFFICE_BLDG,2.0,0.0,
92111,SHOPPING_CENTER,2.0,0.0,
92111,SHOPPING_MALL,2.0,16.0,
92118,HOTEL,9.0,0.0,
92119,SHOPPING_CENTER,2.0,0.0,
92119,SHOPPING_MALL,1.0,0.0,
92121,HOSPITAL,3.0,0.0,
92122,HOTEL,3.0,0.0,
92122,PARKING_GARAGE,0.0,7.0,
92123,OFFICE_BLDG,2.0,0.0,
92126,CAR_DEALER,1.0,0.0,
92127,HOTEL,6.0,0.0,
92127,SHOPPING_CENTER,2.0,12.0,
92128,TRAVEL_CENTER,10.0,0.0,
92130,HOTEL,4.0,0.0,
92130,SHOPPING_CENTER,4.0,0.0,
92201,GAS_STATION,0.0,2.0,
92201,HOTEL,4.0,0.0,
92210,HOTEL,16.0,0.0,
92211,HOTEL,2.0,1.0,
92220,HOSPITAL,2.0,0.0,
92223,RESTAURANT,0.0,17.0,
92223,SHOPPING_CENTER,7.0,0.0,
92225,HOTEL,2.0,1.0,
92234,AUTO_REPAIR,1.0,1.0,
92234,CAR_DEALER,1.0,1.0,
92234,HOTEL,2.0,0.0,
92234,PARKING_GARAGE,4.0,0.0,
92240,HOTEL,4.0,0.0,
92243,HOTEL,8.0,0.0,
92253,CAR_DEALER,2.0,1.0,
92253,HOTEL,9.0,0.0,
92253,MUNI_GOV,14.0,0.0,
92253,REC_SPORTS_FACILITY,3.0,0.0,
92260,HOTEL,83.0,0.0,
92260,MUNI_GOV,6.0,0.0,
92262,AIRPORT,6.0,0.0,
92262,FLEET_GARAGE,1.0,0.0,
92262,HOTEL,18.0,0.0,
92262,INN,2.0,0.0,
92262,LIBRARY,1.0,0.0,
92262,MUNI_GOV,6.0,0.0,
92262,OTHER_ENTERTAINMENT,2.0,0.0,
92262,PARK,1.0,0.0,
92262,PARKING_GARAGE,4.0,0.0,
92262,PARKING_LOT,2.0,0.0,
92264,HOTEL,14.0,0.0,
92264,INN,2.0,0.0,
92264,MUNI_GOV,4.0,0.0,
92264,PARK,1.0,0.0,
92264,PARKING_GARAGE,2.0,0.0,
92270,HOTEL,12.0,0.0,
92309,TRAVEL_CENTER,0.0,4.0,
92311,HOTEL,2.0,0.0,
92320,SHOPPING_CENTER,5.0,0.0,
92324,MUNI_GOV,1.0,0.0,
92328,HOTEL,6.0,0.0,
92335,MUNI_GOV,14.0,0.0,
92336,CAR_DEALER,2.0,0.0,
92337,SHOPPING_CENTER,2.0,0.0,
92344,SHOPPING_CENTER,0.0,16.0,
92346,OTHER_ENTERTAINMENT,2.0,0.0,
92352,HOTEL,2.0,0.0,
92364,TRAVEL_CENTER,0.0,4.0,
92373,SHOPPING_CENTER,14.0,0.0,
92374,CAR_DEALER,3.0,1.0,
92374,HOTEL,4.0,0.0,
92374,PARKING_LOT,3.0,0.0,
92392,CAR_DEALER,2.0,0.0,
92392,HOTEL,3.0,0.0,
92392,PARKING_LOT,7.0,0.0,
92394,CAR_DEALER,1.0,0.0,
92399,PARK,1.0,0.0,
92407,COLLEGE_CAMPUS,9.0,0.0,
92408,CAR_DEALER,1.0,1.0,
92408,HOTEL,2.0,0.0,
92501,CAR_DEALER,2.0,0.0,
92501,HOSPITAL,2.0,6.0,
92501,HOTEL,5.0,0.0,
92501,LIBRARY,1.0,0.0,
92501,OFFICE_BLDG,4.0,0.0,
92501,SHOPPING_CENTER,1.0,0.0,
92503,GROCERY,2.0,0.0,
92503,OFFICE_BLDG,2.0,0.0,
92503,SHOPPING_MALL,12.0,0.0,
92504,CAR_DEALER,2.0,0.0,
92506,COLLEGE_CAMPUS,2.0,0.0,
92506,SHOPPING_CENTER,2.0,0.0,
92507,CAR_DEALER,1.0,0.0,
92507,GAS_STATION,0.0,6.0,
92507,SHOPPING_CENTER,0.0,12.0,
92508,SHOPPING_CENTER,2.0,0.0,
92508,SHOPPING_MALL,2.0,0.0,
92509,OFFICE_BLDG,3.0,0.0,
92509,SCHOOL,2.0,0.0,
92518,SHOPPING_CENTER,4.0,0.0,
92518,UTILITY,16.0,0.0,
92530,ARENA,4.0,0.0,
92530,MUNI_GOV,4.0,0.0,
92530,SHOPPING_CENTER,2.0,0.0,
92543,MUNI_GOV,2.0,0.0,
92545,CAR_DEALER,2.0,0.0,
92545,OFFICE_BLDG,2.0,0.0,
92549,INN,2.0,0.0,
92553,HOTEL,4.0,0.0,
92555,CAR_DEALER,3.0,0.0,
92562,HOTEL,4.0,0.0,
92584,RESTAURANT,1.0,0.0,
92584,SHOPPING_CENTER,0.0,14.0,
92584,SHOPPING_MALL,4.0,0.0,
92590,PARKING_GARAGE,2.0,0.0,
